Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,Winner
8/25/2018,Japan,China,12,4,M,AsianGames,2018,Indonesia,Japan
8/25/2018,Saudi Arabia,Indonesia,12,12,M,AsianGames,2018,Indonesia,Tie
8/25/2018,Singapore,Iran,5,11,M,AsianGames,2018,Indonesia,Iran
8/25/2018,South Korea,Kazakhstan,9,16,M,AsianGames,2018,Indonesia,Kazakhstan
8/26/2018,Indonesia,China,2,19,M,AsianGames,2018,Indonesia,China
8/26/2018,Iran,South Korea,16,11,M,AsianGames,2018,Indonesia,Iran
8/26/2018,Saudi Arabia,Hong Kong,12,6,M,AsianGames,2018,Indonesia,Saudi Arabia
8/27/2018,China,Hong Kong,23,3,M,AsianGames,2018,Indonesia,China
8/27/2018,Indonesia,Japan,7,24,M,AsianGames,2018,Indonesia,Japan
8/27/2018,Kazakhstan,Singapore,15,4,M,AsianGames,2018,Indonesia,Kazakhstan
8/28/2018,China,Saudi Arabia,17,5,M,AsianGames,2018,Indonesia,China
8/28/2018,Hong Kong,Japan,0,23,M,AsianGames,2018,Indonesia,Japan
8/28/2018,Kazakhstan,Iran,9,5,M,AsianGames,2018,Indonesia,Kazakhstan
8/29/2018,Hong Kong,Indonesia,8,11,M,AsianGames,2018,Indonesia,Indonesia
8/29/2018,Japan,Saudi Arabia,20,4,M,AsianGames,2018,Indonesia,Japan
8/29/2018,Singapore,South Korea,7,10,M,AsianGames,2018,Indonesia,South Korea
8/30/2018,Iran,Saudi Arabia,15,7,M,AsianGames,2018,Indonesia,Iran
8/30/2018,Kazakhstan,Indonesia,20,4,M,AsianGames,2018,Indonesia,Kazakhstan
8/30/2018,Singapore,Japan,6,28,M,AsianGames,2018,Indonesia,Japan
8/30/2018,South Korea,China,4,12,M,AsianGames,2018,Indonesia,China
8/31/2018,China,Kazakhstan,8,9,M,AsianGames,2018,Indonesia,Kazakhstan
8/31/2018,Iran,Japan,7,18,M,AsianGames,2018,Indonesia,Japan
8/31/2018,Saudi Arabia,Singapore,5,6,M,AsianGames,2018,Indonesia,Singapore
8/31/2018,South Korea,Indonesia,15,7,M,AsianGames,2018,Indonesia,South Korea
9/1/2018,Iran,China,16,15,M,AsianGames,2018,Indonesia,Iran
9/1/2018,Japan,Kazakhstan,7,8,M,AsianGames,2018,Indonesia,Kazakhstan
